SOVEREIGNT,ICE_detentions,population,percent
El Salvador,441860,6029976,7.327724024
Honduras,609270,9892632,6.158826084
Guatemala,801500,17843132,4.4919244
Nicaragua,119080,6803886,1.750176296
Mexico,2184680,130294079,1.676730068
Cuba,110680,11089511,0.998060239
Belize,3880,410919,0.944225018
Jamaica,22420,2825544,0.793475522
Ecuador,116130,16938986,0.685578228
Dominican Republic,64130,10771504,0.595367184
Bahamas,2360,398165,0.592719099
Haiti,58150,11867032,0.490013004
Tonga,430,100179,0.429231675
Guyana,3100,772975,0.401047899
Venezuela,103910,28405543,0.365808885
Trinidad And Tobago,3700,1368333,0.270402015
Colombia,118910,52695952,0.225653007
Georgia,7360,3694600,0.199209657
Grenada,220,112579,0.195418329
Armenia,5600,3075800,0.182066454
Peru,53570,34038457,0.157380812
Barbados,410,267800,0.153099328
Cape Verde,720,491233,0.146569958
Eritrea,4830,3535603,0.13661036
Mauritania,5540,4927532,0.112429508
Albania,2550,2402113,0.106156538
Costa Rica,5240,5309625,0.098688702
Panama,2660,4064780,0.065440196
Romania,12460,19064409,0.065357389
Gambia,1460,2417471,0.060393692
Liberia,2680,5248621,0.051061031
Laos,3740,7546000,0.049562682
Senegal,8410,18126390,0.046396442
Bolivia,5020,11312620,0.04437522
Fiji,390,900869,0.043291533
Bosnia and Herzegovina,1290,3264873,0.039511491
Brazil,82500,212583750,0.038808234
Moldova,920,2423300,0.037964759
Uruguay,1280,3499451,0.036577166
Jordan,4070,11734000,0.034685529
Kosovo,530,1585566,0.033426549
Somalia,6190,19009151,0.032563264
Cameroon,8150,28758503,0.028339445
Nepal,8130,29164578,0.027876282
Chile,5240,20086377,0.026087333
Guinea,3470,14363931,0.024157732
Lebanon,1270,5490000,0.023132969
Turkey,18940,85664944,0.022109394
Lithuania,630,2889402,0.02180382
Israel,2160,10045100,0.021503021
Ghana,7020,33007618,0.021267818
Uzbekistan,7970,37543167,0.021228896
Kyrgyzstan,1450,7161900,0.020246024
Latvia,330,1850100,0.017836874
Sierra Leone,1460,8884032,0.01643398
Mongolia,570,3504741,0.016263684
Sri Lanka,3500,21763170,0.016082216
Portugal,1650,10639726,0.015507918
Canada,5930,41528680,0.014279288
Ireland,730,5380300,0.013568017
Hungary,1280,9540000,0.013417191
Cambodia,2130,17336307,0.012286354
Ukraine,3980,32962000,0.01207451
Russia,17160,146028325,0.011751145
Montenegro,70,623633,0.01122455
Tajikistan,1130,10277100,0.01099532
Poland,3620,37470000,0.009661062
Vietnam,9680,101343800,0.009551645
Togo,740,8095498,0.009140883
Estonia,120,1369285,0.008763698
Bulgaria,560,6445481,0.008688258
Belarus,710,9109280,0.007794249
Bangladesh,12730,169828911,0.007495779
Paraguay,450,6109644,0.007365405
Syria,1740,24672760,0.007052312
Kenya,3430,52428290,0.006542269
Afghanistan,2740,42045000,0.006516827
United Kingdom,4430,68265209,0.006489396
South Korea,3300,51207874,0.006444321
Spain,3160,49077984,0.006438732
Equatorial Guinea,100,1558160,0.006417826
Argentina,2910,47067641,0.006182592
Czech Republic,660,10909500,0.006049773
Kazakhstan,1220,20316155,0.006005073
Angola,2080,35121734,0.005922259
Slovakia,320,5419451,0.005904657
Iraq,2610,44414800,0.00587642
Mali,1260,22395489,0.005626133
Morocco,2020,36828330,0.005484908
Saudi Arabia,1720,32175224,0.005345728
Philippines,5910,114123600,0.005178596
Egypt,5380,105914499,0.005079569
India,70560,1413324000,0.004992486
Greece,500,10400720,0.004807359
Azerbaijan,460,10218536,0.004501623
Sudan,2240,50448963,0.004440131
New Zealand,230,5356700,0.004293688
Italy,2510,58934177,0.004258989
Netherlands,700,18060445,0.003875873
Bhutan,30,777224,0.003859891
Nigeria,8540,223800000,0.003815907
Iran,3050,85961000,0.003548121
Chad,660,18675547,0.003534033
Burkina Faso,810,23409015,0.003460205
Ivory Coast,960,29389150,0.003266512
Suriname,20,616500,0.00324412
Ethiopia,3250,109499000,0.002968064
Sweden,310,10587970,0.002927851
Yemen,940,32305264,0.002909743
China,37520,1408280000,0.002664243
Zimbabwe,440,16751469,0.002626635
Pakistan,6340,241499431,0.002625265
Taiwan,610,23374742,0.002609654
France,1760,68609000,0.002565261
Australia,670,27309396,0.002453368
Thailand,1610,65932105,0.002441906
Germany,1740,83555478,0.002082449
Tunisia,230,11887412,0.00193482
South Sudan,280,15254268,0.001835552
Guinea-Bissau,30,1781308,0.001684156
Democratic Republic of the Congo,1840,109276000,0.00168381
South Africa,920,63015904,0.001459949
Myanmar,740,51316756,0.001442024
Croatia,50,3859686,0.001295442
Niger,330,26312034,0.001254179
Kuwait,60,4913271,0.001221182
Benin,150,12910087,0.001161882
North Macedonia,20,1826247,0.001095142
Uganda,500,45905417,0.001089196
Djibouti,10,1066809,0.000937375
Zambia,180,19610769,0.000917863
Rwanda,120,13798561,0.000869656
Tanzania,490,61741120,0.000793636
Burundi,80,12837740,0.000623163
Malaysia,210,34157500,0.000614799
Japan,730,123440000,0.00059138
Libya,40,7381023,0.00054193
Belgium,60,11812354,0.000507943
Indonesia,1400,282477584,0.000495615
Central African Republic,30,6470307,0.000463657
Algeria,210,47400000,0.000443038
Gabon,10,2408586,0.000415181
Qatar,10,2857822,0.000349917
Denmark,20,5992734,0.000333737
Singapore,10,6036900,0.000165648
Turkmenistan,10,7057841,0.000141686
Austria,10,9198214,0.000108717
United Arab Emirates,10,10678556,9.36456E-05
Mozambique,10,33244414,3.00802E-05