nation,acres
Ak-Chin,0.00
Bad River,0.00
Blackfeet,619688.00
Bois Forte,0.00
Burns Paiute,36183.00
Cheyenne River,1051480.00
Cocopah,0.00
Coeur d’Alene,60.00
Colorado River,150693.00
Colville,0.00
Crow,1474995.00
Crow Creek,0.00
Flandreau Santee,0.00
Flathead,975733.00
Fond du Lac,1560.00
Fort Belknap,464776.00
Fort Berthold,114801.00
Fort Hall,330419.00
Fort McDowell,0.00
Fort Mojave,0.00
Fort Peck,369019.00
Fort Yuma-Quechan,0.00
Gila River,0.00
Ho-Chunk,0.00
Hopi,1685514.00
Hualapai,977645.00
Kaibab Paiute,0.00
Lac Courte Oreilles Ojibwa,0.00
Lac du Flambeau,0.00
Lake Traverse,0.00
Leech Lake,13820.00
Lower Brule,159140.00
Lower Sioux,0.00
Lummi,0.00
Menominee,1856.00
Mille Lacs,0.00
Mississippi Bands of Choctaw,1349.00
Navajo Nation,15956139.00
Nez Perce,0.00
Northern Cheyenne,0.00
Omaha,0.00
Oneida Tribe of Wisconsin,1164.00
Pine Ridge,1312916.00
Prairie Island Community,0.00
Pueblo de Cochiti,0.00
Pueblo of Isleta,221439.00
Pueblo of Jemez,0.00
Pueblo of Santo Domingo,0.00
Pueblo of Zuni,465776.00
Red Cliff,0.00
Red Lake Band,0.00
Rocky Boy’s,62967.00
Rosebud,545838.00
Sac and Fox,0.00
Salt River Pima-Maricopa,0.00
San Carlos Apache,1824400.00
Santee Sioux,21715.00
Sokaogon Chippewa Community,0.00
Spirit Lake,46700.00
Spokane,0.00
St. Croix,0.00
Standing Rock,246982.00
Stockbridge-Munsee,0.00
Tohono O’odham,0.00
Turtle Mountain/Trenton Indian Service Area,58446.00
Umatilla,3003.00
Upper Sioux,0.00
Warm Springs,545561.00
White Earth,22304.00
Wind River,396382.00
Winnebago,12540.00
Yakama,0.00
Yankton,5255.00