state,area_mi2,total,white,Black,Indigenous,Asian,PacificIslander,Other,Mixed,Latino
united_states,3796676,330849142,191435876,39663272,2250422,19585527,621669,1686080,13519498,62002800
Alabama,52420,5024279,3171351,1288159,23119,75918,2612,14455,184618,264047
Alaska,665384,733391,421758,20731,108838,43449,12455,4575,71761,49824
Arizona,113990,7151502,3816547,317161,263930,248837,14323,31611,266840,2192253
Arkansas,53179,3011524,2063550,449884,20549,51210,14280,8047,147157,256847
California,163695,39538223,13714587,2119286,156085,5978795,138167,223929,1627722,15579652
Colorado,104094,5773714,3760663,221310,33768,195220,9005,29560,260798,1263798
Connecticut,5543,3605944,2279232,360937,6404,170459,974,27076,137569,623293
Delaware,2489,989948,579851,212960,2521,42398,304,4601,43023,104290
Florida,65758,21538187,11100503,3127052,42169,629626,11521,137933,792143,5697240
Georgia,59425,10711908,5362156,3278119,20375,475680,6101,55887,390133,1123457
Hawaii,10932,1455271,314365,21877,2321,531558,149054,5283,291890,138923
Idaho,83569,1839106,1450523,14785,18903,26036,3401,8243,77808,239407
Illinois,57914,12812508,7472751,1775612,16561,747280,2959,45080,414855,2337410
Indiana,36420,6785528,5121004,637500,12938,166651,2761,25139,265344,554191
Iowa,56273,3190369,2638201,129321,9079,75017,5605,8487,108673,215986
Kansas,82278,2937880,2122575,168352,21921,85225,3115,10064,149025,382603
Kentucky,40408,4505836,3664764,357764,8080,73843,3462,14706,175363,207854
Louisiana,52378,4657757,2596702,1452420,25994,85336,1706,16954,156096,322549
Maine,35380,1362359,1228264,25115,7293,16668,407,4430,53573,26609
Maryland,12406,6177224,2913782,1795027,12055,417962,2575,35314,270764,729745
Massachusetts,10554,7029917,4748897,457055,9387,504900,1607,92108,328278,887685
Michigan,96714,10077331,7295651,1358458,47406,332288,2603,37183,439320,564422
Minnesota,86936,5706494,4353880,392850,57046,297460,2621,20963,236034,345640
Mississippi,48432,2961279,1639077,1079001,14019,32305,1037,7174,83446,105220
Missouri,69707,6154913,4663907,692774,23496,132158,9293,22377,307840,303068
Montana,147040,1084225,901318,5077,64592,8077,839,4374,54749,45199
Nebraska,77348,1961504,1484687,94405,15051,52359,1318,6335,72634,234715
Nevada,110572,3104614,1425952,291960,23392,265991,22970,17171,166921,890257
New Hampshire,9349,1377529,1200649,18655,2299,35604,388,5916,54564,59454
New Jersey,8723,9288994,4816381,1154142,11206,942921,1944,70354,289471,2002575
New Mexico,121590,2117522,772952,38330,188610,35261,1451,10340,59767,1010811
New York,54555,20201249,10598907,2759022,54908,1916329,6097,197107,720847,3948032
North Carolina,53819,10439388,6312148,2107526,100886,340059,6980,46340,406853,1118596
North Dakota,70698,779094,636160,26152,37350,13050,869,1853,30248,33412
Ohio,44826,11799448,8954135,1457180,18949,296604,4493,45217,501562,521308
Oklahoma,69899,3959353,2407188,283242,311890,89653,8168,13602,373679,471931
Oregon,98379,4327256,3036158,78658,42042,191797,18197,22962,258685,588757
Pennsylvania,46054,13002700,9553417,1368978,15028,506674,3162,54541,451285,1049615
Rhode Island,1545,1097379,754050,55386,3513,38367,320,11392,52250,182101
South Carolina,32020,5118425,3178552,1269031,16591,89394,3085,19354,189580,352838
South Dakota,77116,886667,705583,17441,74595,13332,493,2050,34432,38741
Tennessee,42144,6910246,4900246,1083772,15539,134302,3594,23977,270223,479187
Texas,268596,29145505,11584597,3444712,85425,1561518,27857,113584,886095,11441717
Utah,84897,3271616,2465355,37192,28690,78618,35831,12566,120452,492912
Vermont,9616,643077,573201,8649,1986,11457,170,2561,29549,15504
Virginia,42775,8631393,5058363,1578090,19080,610612,6195,45394,404910,908749
Washington,71298,7705281,4918820,296170,91191,723062,62490,43221,511114,1059213
West Virginia,24230,1793716,1598834,64749,3187,14903,429,4652,72135,34827
Wisconsin,65496,5893718,4634018,366508,48384,174267,1892,17613,203746,447290
Wyoming,97813,576851,469664,4735,11781,5037,489,2425,23674,59046